LogLearning: Display: Training Process: Iter:    3120 | Avg Reward: 0.43710 | Avg Return: 339.05274 | Avg Value: 82.05001 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    3198 | Avg Reward: 0.50488 | Avg Return: 368.05853 | Avg Value: 81.04455 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    3276 | Avg Reward: 0.44216 | Avg Return: 431.21841 | Avg Value: 80.27818 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    3354 | Avg Reward: 0.51153 | Avg Return: 620.98250 | Avg Value: 80.60920 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    3432 | Avg Reward: 0.52572 | Avg Return: 462.08365 | Avg Value: 80.55969 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    3510 | Avg Reward: 0.50592 | Avg Return: 430.69978 | Avg Value: 79.55100 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    3588 | Avg Reward: 0.45698 | Avg Return: 668.20789 | Avg Value: 79.23058 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    3666 | Avg Reward: 0.61310 | Avg Return: 807.01207 | Avg Value: 80.97972 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    3744 | Avg Reward: 0.54658 | Avg Return: 591.43577 | Avg Value: 81.08229 | Avg Episode Length: 1000.00000
LogLearning: Display: Training Process: Iter:    3822 | Avg Reward: 0.44771 | Avg Return: 316.60517 | Avg Value: 79.55776 | Avg Episode Length: 666.66667
LogLearning: Display: Training Process: Iter:    3900 | Avg Reward: 0.39855 | Avg Return: 675.79068 | Avg Value: 81.83551 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    3978 | Avg Reward: 0.63079 | Avg Return: 559.93960 | Avg Value: 81.93079 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    4056 | Avg Reward: 0.46281 | Avg Return: 433.95579 | Avg Value: 80.68605 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    4134 | Avg Reward: 0.67509 | Avg Return: 971.88635 | Avg Value: 83.38599 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    4212 | Avg Reward: 0.64852 | Avg Return: 724.48749 | Avg Value: 82.80306 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    4290 | Avg Reward: 0.54303 | Avg Return: 555.83312 | Avg Value: 82.50270 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    4368 | Avg Reward: 0.54208 | Avg Return: 456.27406 | Avg Value: 81.91641 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    4446 | Avg Reward: 0.70478 | Avg Return: 760.64963 | Avg Value: 83.11139 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    4524 | Avg Reward: 0.58013 | Avg Return: 365.76648 | Avg Value: 82.15244 | Avg Episode Length: 625.00000
LogLearning: Display: Training Process: Iter:    4602 | Avg Reward: 0.51705 | Avg Return: 479.64174 | Avg Value: 81.89141 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    4680 | Avg Reward: 0.71237 | Avg Return: 532.62884 | Avg Value: 83.72836 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    4758 | Avg Reward: 0.69215 | Avg Return: 503.84576 | Avg Value: 83.94468 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    4836 | Avg Reward: 0.67859 | Avg Return: 458.69908 | Avg Value: 84.72684 | Avg Episode Length: 625.00000
LogLearning: Display: Training Process: Iter:    4914 | Avg Reward: 0.71373 | Avg Return: 395.61902 | Avg Value: 84.25089 | Avg Episode Length: 588.23529
LogLearning: Display: Training Process: Iter:    4992 | Avg Reward: 0.48489 | Avg Return: 393.15138 | Avg Value: 81.98143 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    5070 | Avg Reward: 0.79378 | Avg Return: 494.81433 | Avg Value: 85.54818 | Avg Episode Length: 666.66667
