LogLearning: Display: Training Process: Iter:    3198 | Avg Reward: 0.73317 | Avg Return: 159.50689 | Avg Value: 92.54154 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    3276 | Avg Reward: 0.75442 | Avg Return: 176.41457 | Avg Value: 92.62793 | Avg Episode Length: 222.22222
LogLearning: Display: Training Process: Iter:    3354 | Avg Reward: 0.37726 | Avg Return: 81.11867 | Avg Value: 88.77618 | Avg Episode Length: 227.27273
LogLearning: Display: Training Process: Iter:    3432 | Avg Reward: 0.71486 | Avg Return: 160.50194 | Avg Value: 92.69899 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    3510 | Avg Reward: 0.64163 | Avg Return: 144.45248 | Avg Value: 92.70223 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    3588 | Avg Reward: 0.83763 | Avg Return: 185.58040 | Avg Value: 93.76950 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    3666 | Avg Reward: 0.96937 | Avg Return: 186.38257 | Avg Value: 93.93330 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    3744 | Avg Reward: 0.70514 | Avg Return: 151.57872 | Avg Value: 93.04251 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    3822 | Avg Reward: 0.75984 | Avg Return: 161.76138 | Avg Value: 93.13120 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    3900 | Avg Reward: 0.70788 | Avg Return: 144.22692 | Avg Value: 92.63614 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    3978 | Avg Reward: 0.79739 | Avg Return: 185.62968 | Avg Value: 93.63055 | Avg Episode Length: 222.22222
LogLearning: Display: Training Process: Iter:    4056 | Avg Reward: 0.71695 | Avg Return: 171.97292 | Avg Value: 93.65354 | Avg Episode Length: 217.39130
LogLearning: Display: Training Process: Iter:    4134 | Avg Reward: 0.69409 | Avg Return: 149.58930 | Avg Value: 93.16784 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    4212 | Avg Reward: 0.83128 | Avg Return: 189.81928 | Avg Value: 94.04074 | Avg Episode Length: 222.22222
LogLearning: Display: Training Process: Iter:    4290 | Avg Reward: 0.77455 | Avg Return: 174.18575 | Avg Value: 93.75208 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    4368 | Avg Reward: 0.71221 | Avg Return: 146.49567 | Avg Value: 93.49767 | Avg Episode Length: 192.30769
LogLearning: Display: Training Process: Iter:    4446 | Avg Reward: 0.79547 | Avg Return: 188.40558 | Avg Value: 94.04930 | Avg Episode Length: 227.27273
LogLearning: Display: Training Process: Iter:    4524 | Avg Reward: 0.69843 | Avg Return: 150.00006 | Avg Value: 93.27529 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    4602 | Avg Reward: 0.77192 | Avg Return: 190.87207 | Avg Value: 94.30811 | Avg Episode Length: 227.27273
